"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000196363","ENSG00000174307",0.38574181413464,0,"PHLDA3","WDR5"
"ENSG00000196363","ENSG00000258429",0.448704612066271,0,"PDF","WDR5"
"ENSG00000172534","ENSG00000103657",0.437706669092207,9.78550573904613e-12,"HERC1","HCFC1"
"ENSG00000172534","ENSG00000067596",0.415559160334843,0,"DHX8","HCFC1"
"ENSG00000120071","ENSG00000254680",0.425507406508209,0,"RP11-265D17.2","KANSL1"
"ENSG00000187778","ENSG00000149541",0.532912941721622,0,"B3GAT3","MCRS1"
"ENSG00000147162","ENSG00000248019",0.709454003771957,0,"FAM13A-AS1","OGT"
"ENSG00000187778","ENSG00000136247",0.389112917608518,0,"ZDHHC4","MCRS1"
"ENSG00000196363","ENSG00000164970",0.463967199392923,0,"FAM219A","WDR5"
"ENSG00000187778","ENSG00000102898",0.401991737339815,0,"NUTF2","MCRS1"
"ENSG00000187778","ENSG00000162517",0.587848718421182,0,"PEF1","MCRS1"
"ENSG00000187778","ENSG00000100239",0.707923887579428,0,"PPP6R2","MCRS1"
"ENSG00000196363","ENSG00000176956",0.392191104434296,0,"LY6H","WDR5"
"ENSG00000196363","ENSG00000260750",0.395366070620198,0,"RP11-482M8.1","WDR5"
"ENSG00000187778","ENSG00000138834",0.510158540988621,0,"MAPK8IP3","MCRS1"
"ENSG00000147162","ENSG00000105613",0.387417754952526,0,"MAST1","OGT"
"ENSG00000196363","ENSG00000161013",0.489568659647257,0,"MGAT4B","WDR5"
"ENSG00000196363","ENSG00000188976",0.664998002842758,0,"NOC2L","WDR5"
"ENSG00000103510","ENSG00000269813",0.35663452954538,0,"CTD-3193O13.14","KAT8"
"ENSG00000196363","ENSG00000176986",0.654784898738143,0,"SEC24C","WDR5"
"ENSG00000187778","ENSG00000100296",0.518414422735684,0,"THOC5","MCRS1"
"ENSG00000147162","ENSG00000250379",0.352764959296428,0,"RP11-23P13.4","OGT"
"ENSG00000187778","ENSG00000137522",0.471111744148809,0,"RNF121","MCRS1"
"ENSG00000187778","ENSG00000100280",0.448642471590854,0,"AP1B1","MCRS1"
