Regulator	Target	MI	pvalue
X3760137	X3350775	0.36671980357803313	0.0
X3656855	X3959613	0.3743921588004676	0.0
X4026956	X3825260	0.3850072924866936	0.0
X4026956	X3855910	0.38028514978273303	0.0
X3453882	X3741171	0.370056283202086	0.0
X4026956	X3230024	0.5287304854054966	0.0
X3453882	X3226041	0.3787879391464159	0.0
X3453882	X3708553	0.3676570303524827	4.401888055838299E-6
X4026956	X3155937	0.36994201580693814	0.0
X3656855	X3945006	0.35620498048917854	0.032984601168049466
X3453882	X4053841	0.38019843420015403	0.0
X4026956	X3815014	0.37342562878302066	0.0
X3760137	X3431143	0.3505625010833081	0.0
X4026956	X3822195	0.4047840368410797	0.0
X3656855	X3818897	0.37506149929976823	0.0
X4026956	X3816333	0.37292597025198293	0.0
X3656855	X3862128	0.3642709981374266	0.0
X3656855	X3744965	0.37806565790794416	0.0
X3760137	X3377149	0.36987757360356144	0.0
X3656855	X3715512	0.3965581192405931	0.0
X4026956	X3867092	0.39228662958032573	0.0
X4026956	X3837232	0.36672183361135235	0.0
X4026956	X3845708	0.4196337274646129	0.0
X4026956	X3739668	0.3957736677622968	0.0
X3453882	X3851651	0.39255045461738663	0.0
X4026956	X3471886	0.36883601864617727	0.0
X4026956	X3394356	0.3673184259380423	0.0
X4026956	X3350775	0.38287931611549814	3.1766695940405043E-9
X3760137	X3687260	0.36689922248777196	3.588240815588506E-13
X4026956	X3815045	0.36187976512582476	0.0
X3656855	X3665603	0.35035414298448697	2.2605917138207587E-11
X4026956	X3226844	0.3878638549590663	0.0
X4026956	X3571248	0.38997821628952906	0.0
X3760137	X3957260	0.355646639884662	0.002765816627068318
X3453882	X3318666	0.365393387701201	0.0
X4026956	X4027416	0.3895636298860746	0.0
X4026956	X3167994	0.376358116569359	0.0
X4026956	X3865301	0.38506965110251895	0.0
X4026956	X3833757	0.36764068219637047	0.0
X4026956	X3839057	0.3766456987915724	0.0
X4026956	X3374746	0.3601744457212191	0.0
X3760137	X3375340	0.36031088158571173	0.0
X3656855	X3707095	0.37262102915980844	0.0
X4026956	X3697218	0.3600922629470918	0.0
X3656855	X3741040	0.3635856408700798	0.0
X3453882	X3944778	0.36910849224127107	0.0
X3760137	X3771037	0.3745188217247284	0.0
X4026956	X3913540	0.371009300460146	0.0023719387870286823
X4026956	X3503119	0.3813479806697146	0.0
